candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_return_neutral_3pct,policy_return_tiered,policy_uplift_vs_sell_50_neutral_3pct,avg_hold_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
gbt_lean_plus_two,model,gbt,VPU,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.04740299532242074,0.044696879149237,0.02356040522816122,0.0199621479400319,0.5286458333333334,192,0.2829468815751888,0.59375,0.13635771097029975,-0.30477710425451954,0.2829468815751888,0.00556096338464675,
elasticnet_lean_v1,model,elasticnet,VPU,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.04422586527940341,0.04639907690306889,0.028539849529229694,0.021664345693863798,0.578125,192,0.3808984050289695,0.5885416666666666,0.13287650345714805,-0.27952723220541387,0.3808984050289695,0.00012361049246254315,
ensemble_ridge_gbt,ensemble,ridge+gbt,VPU,25,"ridge_lean_v1,gbt_lean_plus_two",0.04589240963260872,0.04135267748628368,0.019637015813114455,0.016617946277078587,0.5520833333333334,192,0.2751539484035483,0.59375,0.13019424178698344,-0.2022833753124229,0.2751539484035483,0.0142867825951139,
baseline_historical_mean,baseline,baseline,VPU,0,,0.04601062952044102,0.03817473125934991,0.012556528777696517,0.013440000050144821,0.703125,192,0.041097289242780825,0.625,0.12440257305115969,-0.1619888184497369,0.041097289242780825,0.7796580493715224,historical_mean
live_production_ensemble,live_ensemble,ensemble,BNDX,13,,0.08230524503674977,0.08241762688333816,0.051389787658479,0.033247227862485476,0.7948717948717948,78,0.30188798543228923,0.6025641025641025,0.13829705249092888,-0.30167120558212956,0.30188798543228923,0.05605600550488749,
ridge_lean_v1,model,ridge,BNDX,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.1082784863421787,0.10125229250384407,0.05204052334999222,0.052081893482991394,0.6987179487179487,78,0.46423197056108445,0.782051282051282,0.13019943496198463,-0.22948336333880448,0.46423197056108445,0.0022539410409667354,
gbt_lean_plus_two,model,gbt,BNDX,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.09061391802842537,0.08488135253384439,0.05499756768616393,0.0357109535129917,0.8910256410256411,78,0.19095312170200623,0.6538461538461539,0.13827542737844672,-0.23452681182771862,0.19095312170200623,0.2788815490498957,
elasticnet_lean_v1,model,elasticnet,BNDX,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.08550544142082221,0.08798565303962066,0.04429439283558296,0.038815254018767995,0.717948717948718,78,0.15344119183969712,0.6282051282051282,0.15171110567629748,-0.6490676043238992,0.15344119183969712,0.4239756062290607,
ensemble_ridge_gbt,ensemble,ridge+gbt,BNDX,25,"ridge_lean_v1,gbt_lean_plus_two",0.10227361154297955,0.09833314327771789,0.058032106680596524,0.049162744256865225,0.7692307692307693,78,0.4073015592002933,0.7307692307692307,0.12208974254657325,-0.005086808731442405,0.4073015592002933,0.014228173449414504,
baseline_historical_mean,baseline,baseline,BNDX,0,,0.09834079804170534,0.09834079804170534,0.04917039902085267,0.04917039902085267,1.0,78,-0.15309854911103168,0.717948717948718,0.12280062764140837,-0.10279113356638914,-0.15309854911103168,0.5300700808674509,historical_mean
live_production_ensemble,live_ensemble,ensemble,BND,13,,0.08151804244281058,0.07972004961108596,0.03690628133230162,0.030105094500003624,0.74,150,0.17145473132139208,0.6466666666666666,0.1312559079313721,-0.3981170248697248,0.17145473132139208,0.16312060713763504,
