model_type,variant,benchmark,n_obs,n_features,ic,hit_rate,mae,oos_r2
bayesian_ridge,plus_both_buyback_features,VOO,180,16,0.39558146846151643,0.5277777777777778,0.1882619087977169,-1.1191817166651221
bayesian_ridge,plus_both_buyback_features,VFH,259,16,0.20797989640494383,0.5483870967741935,0.16560210145141463,-1.1962727210770714
bayesian_ridge,plus_both_buyback_features,BND,221,16,0.2755909151517845,0.58,0.15183581953517788,-0.9425918159081133
bayesian_ridge,plus_both_buyback_features,VHT,259,16,0.2364307726736569,0.5806451612903226,0.17513108058340124,-1.2121432373354626
bayesian_ridge,plus_both_buyback_features,GLD,250,16,0.21805817051966622,0.55,0.1993197561032335,-0.8007162096952574
bayesian_ridge,plus_both_buyback_features,VNQ,251,16,0.2985832896077039,0.6111111111111112,0.16445450238932272,-0.7990250248653414
bayesian_ridge,plus_both_buyback_features,VXUS,175,16,0.11001916867871823,0.45098039215686275,0.1926530406444295,-0.6839310058004469
gbt,baseline,VTI,291,11,0.11807697971559737,0.6036036036036037,0.15469283591623773,-0.6901464103604962
gbt,baseline,VOO,180,11,0.013194748776392855,0.5370370370370371,0.2599971020932929,-5.2604282989888045
gbt,baseline,VFH,259,11,0.2713768668369754,0.5752688172043011,0.1361314927834808,-0.43597016064078065
gbt,baseline,BND,221,11,0.09783997177203556,0.6466666666666666,0.13139961630800945,-0.36821503226111885
gbt,baseline,VHT,259,11,0.12189317994034707,0.6021505376344086,0.13237666612933915,-0.3284533183835432
gbt,baseline,GLD,250,11,0.05549988374125926,0.5388888888888889,0.18779605262919208,-0.6686570915137946
gbt,baseline,VNQ,251,11,0.1438760691707927,0.5722222222222222,0.17220426009426598,-0.9363434552739216
gbt,baseline,VXUS,175,11,0.13418302725173237,0.6764705882352942,0.1489487007506607,-0.12205009954748358
gbt,plus_buyback_yield,VTI,291,12,0.12372056139968995,0.5900900900900901,0.15450541070096957,-0.6945634352352323
gbt,plus_buyback_yield,VOO,180,12,0.0228646010738758,0.5555555555555556,0.263447732477242,-5.457643463719343
gbt,plus_buyback_yield,VFH,259,12,0.2256343837007386,0.5698924731182796,0.13513413955947343,-0.36448167743374205
gbt,plus_buyback_yield,BND,221,12,0.14018525433021387,0.66,0.12841632148859006,-0.3348486754189608
gbt,plus_buyback_yield,VHT,259,12,0.1479300230941571,0.6075268817204301,0.13589220083409337,-0.4381409955118385
gbt,plus_buyback_yield,GLD,250,12,0.024133585057394425,0.5111111111111111,0.191125853821791,-0.7148578585449885
gbt,plus_buyback_yield,VNQ,251,12,0.16527138323100674,0.5722222222222222,0.16867108750379653,-0.9333981708730603
