subset_label,benchmark,n_obs,n_features,ic,hit_rate,mae,oos_r2
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pe_ratio,VOO,180,14,0.025926439207397914,0.49074074074074076,0.17001192812336474,-0.7714170121964612
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pe_ratio,VFH,259,14,0.009869294105350254,0.5053763440860215,0.15070706713573154,-0.7576914288395364
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pe_ratio,BND,221,14,-0.025372844498341863,0.6933333333333334,0.13382103045671145,-0.5343683830692916
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pe_ratio,VHT,259,14,0.10860775044682223,0.5752688172043011,0.14296870517519603,-0.4677272281451885
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pe_ratio,GLD,250,14,0.22619169955326304,0.6388888888888888,0.16572631620305397,-0.5170874986715444
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pe_ratio,VNQ,251,14,0.12380217055248612,0.5777777777777777,0.1758662090098791,-0.8848769534200054
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pe_ratio,VXUS,175,14,-0.14005800496681772,0.6666666666666666,0.17074201674940195,-0.412017454021097
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pb_ratio,VTI,291,14,-0.03204559720258736,0.46396396396396394,0.2051480259712849,-3.2415306245513564
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pb_ratio,VOO,180,14,-0.08223937038788469,0.37037037037037035,0.2050401371314073,-1.4525374723893094
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pb_ratio,VFH,259,14,-0.06848471983429535,0.40860215053763443,0.16945661705643586,-0.9920015114488121
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pb_ratio,BND,221,14,-0.10657366409969181,0.5533333333333333,0.16132051426551275,-1.2287239241841168
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pb_ratio,VHT,259,14,0.10304594227723521,0.5376344086021505,0.1558359893322962,-0.64764056216566
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pb_ratio,GLD,250,14,0.12473562463028096,0.5722222222222222,0.1926981508297703,-0.9389875083587924
