benchmark,target_horizon,date,before,after,data_only,delta,status,sign_flip,delta_data,delta_window
VFH,6,2025-09-30,-0.02743750339,-0.02745940897,-0.02745940897,-2.190557563e-05,changed,False,-2.190557563e-05,0
VFH,6,2025-10-31,0.02468769964,0.03707582464,0.03707582464,0.012388125,changed,False,0.012388125,0
VFH,6,2025-11-28,-0.05938262097,-0.09629317059,-0.05940674876,-0.03691054962,changed,False,-2.412778337e-05,-0.03688642184
VFH,6,2025-12-31,0.07984804955,0.07982431395,0.07982431395,-2.373559811e-05,changed,False,-2.373559811e-05,0
VFH,6,2026-01-30,-0.02762896544,-0.05013046982,-0.02765476384,-0.02250150438,changed,False,-2.579839378e-05,-0.02247570599
VFH,6,2026-02-27,-0.09743921533,-0.1106903056,-0.09746667675,-0.01325109022,changed,False,-2.746141567e-05,-0.0132236288
VIS,6,2005-09-30,-0.1546816397,-0.1593328432,-0.1546816397,-0.004651203529,changed,False,0,-0.004651203529
VIS,6,2006-09-29,-0.2153795787,-0.2045988425,-0.2153795787,0.01078073626,changed,False,0,0.01078073626
VIS,6,2007-02-28,-0.09423582812,-0.1271406167,-0.09423582812,-0.03290478854,changed,False,0,-0.03290478854
VIS,6,2008-04-30,0.08019943328,0.1112058548,0.08019943328,0.03100642155,changed,False,0,0.03100642155
VIS,6,2008-11-28,0.09850375161,0.07593139176,0.09850375161,-0.02257235984,changed,False,0,-0.02257235984
VIS,6,2009-01-30,0.1235114549,0.09105352648,0.1235114549,-0.03245792842,changed,False,0,-0.03245792842
VIS,6,2009-02-27,-0.05269786393,-0.07255216693,-0.05269786393,-0.019854303,changed,False,0,-0.019854303
VIS,6,2009-06-30,-0.1004065381,-0.08055422923,-0.1004065381,0.01985230883,changed,False,0,0.01985230883
VIS,6,2010-01-29,0.09685714853,0.07664501517,0.09685714853,-0.02021213336,changed,False,0,-0.02021213336
VIS,6,2010-02-26,0.1252361648,0.1645039328,0.1252361648,0.03926776796,changed,False,0,0.03926776796
