as_of,path_name,consensus,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,universe_name,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow,signal_agrees_with_live,mode_agrees_with_live,sell_agrees_with_live
2019-05-31,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.041656864623328745,0.1694376966047167,0.6105406653737399,-0.8528474972036941,current_reduced,True,True,True,True,True,True
2019-05-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.047854988595286585,0.14762079580856663,0.7592943708287264,-0.48239847535711533,current_reduced,True,True,True,True,True,True
2019-06-28,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.10215798688075187,-0.017398651319559977,0.6275119862216636,-0.3501821051197356,current_reduced,True,True,True,True,True,True
2019-06-28,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.02932744548896922,0.17269656892852664,0.6098494158171577,-0.7975480939515609,current_reduced,False,True,True,True,True,True
2019-06-28,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.04920921500964811,0.1537272899651907,0.7500972862263184,-0.44986554987691485,current_reduced,True,True,True,False,True,True
2019-07-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.10215798688075187,-0.045571288514630076,0.6212635718091118,-0.34583232495987803,current_reduced,True,True,True,True,True,True
2019-07-31,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.013647098020652292,0.18318012017069468,0.6128176420306264,-0.7834952099845243,current_reduced,False,True,True,True,True,True
2019-07-31,ensemble_ridge_gbt_v18,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.035342718279903436,0.16709065361553044,0.7487623088832545,-0.4403489180103517,current_reduced,False,True,True,True,True,True
2019-08-30,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.10215798688075187,-0.07273905351698283,0.6140868293446005,-0.34214874565713926,current_reduced,True,True,True,True,True,True
2019-08-30,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.01978091755112264,0.19311435120773657,0.6143875272813673,-0.7706512515249715,current_reduced,False,True,True,True,True,True
2019-08-30,ensemble_ridge_gbt_v18,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.045468082389798034,0.1797145833016359,0.742726451720819,-0.4312132856921933,current_reduced,False,True,True,True,True,True
2019-09-30,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.10215798688075187,-0.07449887612972426,0.6153905071644041,-0.33475699082475474,current_reduced,True,True,True,True,True,True
2019-09-30,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.04468075480238257,0.19968151728941508,0.6135882771912184,-0.7584142114051344,current_reduced,True,True,True,True,True,True
2019-09-30,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.052948431435705656,0.18667702493159682,0.7451811787749287,-0.41835126059532746,current_reduced,True,True,True,True,True,True
2019-10-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.1331004977137843,-0.03188033750639187,0.6218641002633605,-0.3085495738113311,current_reduced,True,True,True,True,True,True
2019-10-31,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.20761389466433902,0.2259822901580191,0.619918423922378,-0.69272471037475,current_reduced,True,True,True,True,True,True
2019-10-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.21865575652549618,0.20808166009405385,0.7486783412688576,-0.3774801688130467,current_reduced,True,True,True,True,True,True
2019-11-29,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.1331004977137843,-0.020672932092024823,0.6269395829734176,-0.3009048442602644,current_reduced,True,True,True,True,True,True
2019-11-29,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.21061634083600822,0.22761997746410706,0.6248609379342462,-0.6774744953595784,current_reduced,True,True,True,True,True,True
2019-11-29,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.21909612457042033,0.20852951468268194,0.7509211535644806,-0.3747697482486496,current_reduced,True,True,True,True,True,True
2019-12-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.1331004977137843,0.0021077897365421316,0.6317914298306455,-0.2904510003444871,current_reduced,True,True,True,True,True,True
2019-12-31,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.20089858089129492,0.2377099584787868,0.6295894389031644,-0.6543362806889181,current_reduced,True,True,True,True,True,True
2019-12-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.22865346360833194,0.21606131251099248,0.7530735467009977,-0.36588082185355164,current_reduced,True,True,True,True,True,True
2020-01-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.1331004977137843,0.004750225278960046,0.6364350776639375,-0.28461320321204475,current_reduced,True,True,True,True,True,True
2020-01-31,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.1943775536144786,0.23258383548999917,0.634118593957814,-0.6445690105878188,current_reduced,True,True,True,True,True,True
2020-01-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.22020848416934846,0.21117729995756485,0.7551414383189292,-0.36540310580395063,current_reduced,True,True,True,True,True,True
2020-02-28,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.1331004977137843,0.023459003445114576,0.6419907211121114,-0.2758627162746059,current_reduced,True,True,True,True,True,True
2020-02-28,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.20140338591996648,0.24220805871407192,0.6395679030004096,-0.6250310133952461,current_reduced,True,True,True,True,True,True
