date,predicted,realized,prob_sell,live_hold_fraction,shadow_hold_fraction,live_sell_pct,shadow_sell_pct,live_recommendation_mode,shadow_recommendation_mode,would_change,disagreement_label,live_policy_return,shadow_policy_return,shadow_minus_live,shadow_beat_live,monitor_month_number,cumulative_shadow_minus_live,expanding_shadow_minus_live_mean,expanding_agreement_rate,cumulative_disagreement_months,selected_variant,selected_gate_style,selected_threshold,selected_promotion_eligible
2014-06-30,0.01571958049748829,0.11776418019106975,0.6139933237453471,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.05888209009553488,0.05888209009553488,0.0,False,45,0.0811991810789989,0.0018044262461999752,0.7777777777777778,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2014-07-31,0.01781609750667803,0.12179954574827548,0.5516408238632989,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.06089977287413774,0.06089977287413774,0.0,False,46,0.0811991810789989,0.0017651995886738888,0.782608695652174,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2014-08-29,0.01601062782595626,0.12757173257845783,0.4830085112535224,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.06378586628922892,0.06378586628922892,0.0,False,47,0.0811991810789989,0.0017276421506169975,0.7872340425531915,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2014-09-30,0.020534853947239702,0.11257750863801966,0.37086720982797916,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.05628875431900983,0.05628875431900983,0.0,False,48,0.0811991810789989,0.0016916496058124767,0.7916666666666666,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2014-10-31,0.007552393226029023,0.044150896766018397,0.4920184121130754,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.022075448383009198,0.022075448383009198,0.0,False,49,0.0811991810789989,0.001657126144469365,0.7959183673469388,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2014-11-28,0.0020345460753400917,0.017685666342959417,0.48628019765724795,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.008842833171479709,0.008842833171479709,0.0,False,50,0.0811991810789989,0.0016239836215799777,0.8,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2014-12-31,0.007003325062999783,0.056932565361971804,0.43428780678171797,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.028466282680985902,0.028466282680985902,0.0,False,51,0.0811991810789989,0.0015921408054705665,0.803921568627451,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2015-01-30,0.01384037838368119,0.17314282912460086,0.4000922068728441,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.08657141456230043,0.08657141456230043,0.0,False,52,0.0811991810789989,0.001561522713057671,0.8076923076923077,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2015-02-27,0.015062794500818629,0.15495066326015527,0.4090422106829398,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.07747533163007764,0.07747533163007764,0.0,False,53,0.0811991810789989,0.0015320600203584695,0.8113207547169812,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2015-03-31,0.02872319191034671,0.15187952570948157,0.33487988546441133,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.07593976285474079,0.07593976285474079,0.0,False,54,0.0811991810789989,0.0015036885384999794,0.8148148148148148,10,gemini_veto_0.50,veto_regression_sell,0.5,True
