horizon_months,model_name,target_kind,n_obs,fold_count,n_features,target_mae,target_rmse,growth_mae,growth_rmse,future_bvps_mae,future_bvps_rmse,directional_hit_rate,spearman_ic,mean_predicted_growth,mean_realized_growth,feature_block,feature_block_notes
12,no_change_bvps,growth,162,27,0,0.16508761112511494,0.2042087997300397,0.16508761112511494,0.2042087997300397,4.017839506172839,5.900167658216309,0.08641975308641975,,0.0,0.14586954781138134,baseline,
12,drift_bvps_growth,growth,162,27,0,0.1286444712236546,0.1630098819774569,0.1286444712236546,0.1630098819774569,3.2017366445333213,4.734791965784476,0.8395061728395061,0.021556632254784172,0.09326865328336394,0.14586954781138134,baseline,
12,trailing_3m_growth,growth,162,27,0,0.13748369566283958,0.20455151384812278,0.13748369566283958,0.20455151384812278,3.6272434730963647,5.9997482078360305,0.8024691358024691,-0.030233515678093525,0.10420150068926248,0.14586954781138134,baseline,
12,seasonal_month_drift,growth,162,27,0,0.13000666965238974,0.16425705981535726,0.13000666965238974,0.16425705981535726,3.2195974749903526,4.724931916067918,0.8395061728395061,0.08998877144096225,0.09324874501405582,0.14586954781138134,baseline,
12,ridge_bridge,growth,162,27,9,0.13010166215735314,0.16603706074703478,0.13010166215735314,0.16603706074703478,3.2956491312401948,4.904179801360344,0.8395061728395061,0.06894960349214818,0.09371251379956853,0.14586954781138134,bvps_lags,Pre-registered x9 bvps_lags feature block.
12,elastic_net_bridge,growth,162,27,9,0.2402620859385412,0.31588647731349007,0.2402620859385412,0.31588647731349007,6.590431003741683,10.757563894507582,0.5493827160493827,-0.16140741587527396,0.07472933521091925,0.14586954781138134,bvps_lags,Pre-registered x9 bvps_lags feature block.
12,ridge_bridge,growth,162,27,11,0.35239527711594415,1.2205374442260633,0.35239527711594415,1.2205374442260633,13.66825172636599,56.04223406098824,0.8395061728395061,0.06631045174656804,0.3412078996213928,0.14586954781138134,accounting_core,Pre-registered x9 accounting_core feature block.
12,elastic_net_bridge,growth,162,27,11,1.4633314584175985,6.72304346901433,1.4633314584175985,6.72304346901433,63.52473288361945,310.087779420676,0.8148148148148148,-0.22629667735029163,1.4330851307431898,0.14586954781138134,accounting_core,Pre-registered x9 accounting_core feature block.
12,ridge_bridge,growth,162,27,6,0.618944924481804,2.569014805941447,0.618944924481804,2.569014805941447,25.836920892815918,118.68201409016213,0.8395061728395061,0.020231144530957815,0.5915265613454563,0.14586954781138134,logical_interactions,Pre-registered x9 logical_interactions feature block.
12,elastic_net_bridge,growth,162,27,6,6.617755061062052,33.452662263121695,6.617755061062052,33.452662263121695,301.94542913381383,1547.3275713750984,0.8024691358024691,-0.4864408286654219,6.523948776094314,0.14586954781138134,logical_interactions,Pre-registered x9 logical_interactions feature block.
12,ridge_bridge,growth,162,27,26,0.8427460590711522,3.749594563370277,0.8427460590711522,3.749594563370277,36.31653452802086,173.21668155451505,0.8395061728395061,0.039371345586336245,0.8290743449491589,0.14586954781138134,bridge_combined,"Union of BVPS lags, accounting core, and logical interactions."
12,elastic_net_bridge,growth,162,27,26,2.6389410754202394,12.53429435234178,2.6389410754202394,12.53429435234178,117.21850675091031,578.4478475122792,0.6604938271604939,-0.27795348600896747,2.442753065233165,0.14586954781138134,bridge_combined,"Union of BVPS lags, accounting core, and logical interactions."
