feature,fold_count,selected_count,mean_abs_coefficient,selection_rate,horizon_months,model_name,feature_block
investment_book_yield,30,17,0.007539796163583967,0.5666666666666667,3,elastic_net_bridge,accounting_core
underwriting_margin_ttm,30,9,0.011735860665683667,0.3,3,elastic_net_bridge,accounting_core
premium_to_surplus_x_cr_delta,30,30,0.0010789370672032769,1.0,3,ridge_bridge,logical_interactions
unrealized_gain_x_real_rate,30,30,0.0005399462980468758,1.0,3,ridge_bridge,logical_interactions
buyback_yield_x_pb_ratio,30,30,0.0004422079987184637,1.0,3,ridge_bridge,logical_interactions
buyback_yield_x_bvps_growth_3m,30,30,0.0004003836064372707,1.0,3,ridge_bridge,logical_interactions
premium_growth_x_underwriting_margin,30,30,0.00030299191943758207,1.0,3,ridge_bridge,logical_interactions
investment_yield_x_bvps,30,21,0.001168688974611302,0.7,3,ridge_bridge,logical_interactions
premium_to_surplus_x_cr_delta,30,30,0.019120418714044754,1.0,3,elastic_net_bridge,logical_interactions
unrealized_gain_x_real_rate,30,28,0.01063354052668061,0.9333333333333333,3,elastic_net_bridge,logical_interactions
buyback_yield_x_bvps_growth_3m,30,28,0.005651304659368417,0.9333333333333333,3,elastic_net_bridge,logical_interactions
premium_growth_x_underwriting_margin,30,27,0.0047426100909621904,0.9,3,elastic_net_bridge,logical_interactions
buyback_yield_x_pb_ratio,30,24,0.004450754082186954,0.8,3,elastic_net_bridge,logical_interactions
investment_yield_x_bvps,30,18,0.018434402118357292,0.6,3,elastic_net_bridge,logical_interactions
dividend_season_flag,30,30,0.0011983061598154093,1.0,3,ridge_bridge,bridge_combined
current_bvps,30,30,0.0011462285425716408,1.0,3,ridge_bridge,bridge_combined
monthly_combined_ratio_delta,30,30,0.0010446670623991585,1.0,3,ridge_bridge,bridge_combined
premium_to_surplus_x_cr_delta,30,30,0.0009349336341406395,1.0,3,ridge_bridge,bridge_combined
q4_flag,30,30,0.000826141919839064,1.0,3,ridge_bridge,bridge_combined
pgr_premium_to_surplus,30,30,0.0008081163884399631,1.0,3,ridge_bridge,bridge_combined
bvps_growth_ytd,30,30,0.0007051217694560892,1.0,3,ridge_bridge,bridge_combined
month_of_year,30,30,0.0006636430920502861,1.0,3,ridge_bridge,bridge_combined
bvps_growth_6m,30,30,0.000652759640180673,1.0,3,ridge_bridge,bridge_combined
buyback_yield,30,30,0.0006516443879116725,1.0,3,ridge_bridge,bridge_combined
underwriting_income_growth_yoy,30,30,0.0006192280550522102,1.0,3,ridge_bridge,bridge_combined
pif_growth_yoy,30,30,0.0005575566595791593,1.0,3,ridge_bridge,bridge_combined
bvps_yoy_dollar_change,30,30,0.0005565200336223272,1.0,3,ridge_bridge,bridge_combined
bvps_growth_3m,30,30,0.0005341327170247928,1.0,3,ridge_bridge,bridge_combined
unrealized_gain_x_real_rate,30,30,0.0005111140418963902,1.0,3,ridge_bridge,bridge_combined
realized_gain_to_net_income_ratio,30,30,0.0004903167555931194,1.0,3,ridge_bridge,bridge_combined
underwriting_margin_ttm,30,30,0.00044531576596279314,1.0,3,ridge_bridge,bridge_combined
unrealized_gain_pct_equity,30,30,0.00044471266884832974,1.0,3,ridge_bridge,bridge_combined
combined_ratio_ttm,30,30,0.0004405635920753098,1.0,3,ridge_bridge,bridge_combined
buyback_yield_x_pb_ratio,30,30,0.00038385617919673126,1.0,3,ridge_bridge,bridge_combined
buyback_yield_x_bvps_growth_3m,30,30,0.0003331082463550485,1.0,3,ridge_bridge,bridge_combined
bvps_growth_1m,30,30,0.0003075900160094685,1.0,3,ridge_bridge,bridge_combined
premium_growth_x_underwriting_margin,30,30,0.00024537144200599374,1.0,3,ridge_bridge,bridge_combined
npw_growth_yoy,30,30,0.00022897479104616434,1.0,3,ridge_bridge,bridge_combined
investment_yield_x_bvps,30,21,0.001072639115950946,0.7,3,ridge_bridge,bridge_combined
investment_book_yield,30,21,0.0004678158615240047,0.7,3,ridge_bridge,bridge_combined
dividend_season_flag,30,29,0.017014255839963705,0.9666666666666667,3,elastic_net_bridge,bridge_combined
pgr_premium_to_surplus,30,27,0.013342791306845792,0.9,3,elastic_net_bridge,bridge_combined
realized_gain_to_net_income_ratio,30,25,0.010671040188636032,0.8333333333333334,3,elastic_net_bridge,bridge_combined
bvps_growth_3m,30,25,0.004803423808017683,0.8333333333333334,3,elastic_net_bridge,bridge_combined
underwriting_income_growth_yoy,30,23,0.005169738282383743,0.7666666666666667,3,elastic_net_bridge,bridge_combined
bvps_growth_1m,30,22,0.004372509739431826,0.7333333333333333,3,elastic_net_bridge,bridge_combined
monthly_combined_ratio_delta,30,21,0.009813144487277981,0.7,3,elastic_net_bridge,bridge_combined
current_bvps,30,20,0.021653228116536506,0.6666666666666666,3,elastic_net_bridge,bridge_combined
month_of_year,30,20,0.0069057249336681855,0.6666666666666666,3,elastic_net_bridge,bridge_combined
bvps_growth_6m,30,20,0.005937586804683608,0.6666666666666666,3,elastic_net_bridge,bridge_combined
bvps_growth_ytd,30,19,0.005340005290369057,0.6333333333333333,3,elastic_net_bridge,bridge_combined
pif_growth_yoy,30,18,0.006239904878374524,0.6,3,elastic_net_bridge,bridge_combined
unrealized_gain_pct_equity,30,17,0.004565567598254072,0.5666666666666667,3,elastic_net_bridge,bridge_combined
buyback_yield_x_bvps_growth_3m,30,17,0.0038323193610967665,0.5666666666666667,3,elastic_net_bridge,bridge_combined
combined_ratio_ttm,30,15,0.005982985412726409,0.5,3,elastic_net_bridge,bridge_combined
