model_family,model_type,feature,experiment_mode,feature_group,family,n_benchmarks,mean_delta_ic,mean_delta_oos_r2,mean_delta_balanced_accuracy,mean_delta_brier_score,mean_delta_score,positive_benchmark_count
classification,ridge,ta_ratio_bb_width_6m_vde,replace_vix,ratio_bollinger,volatility,8,,,0.03875596935524799,-0.013271236196801983,0.02601360277602499,7
classification,ridge,ta_ratio_bb_width_6m_vde,replace_vol_63d,ratio_bollinger,volatility,8,,,0.010535541984589461,-0.01517758673700545,0.012856564360797455,6
classification,ridge,ta_ratio_bb_width_6m_vmbs,add_feature,ratio_bollinger,volatility,8,,,-0.04756131863441905,0.07264307021404426,-0.060102194424231654,2
classification,ridge,ta_ratio_bb_width_6m_vmbs,replace_mom_12m,ratio_bollinger,volatility,8,,,-0.05673074795678722,0.061753468217187066,-0.05924210808698714,2
classification,ridge,ta_ratio_bb_width_6m_vmbs,replace_vix,ratio_bollinger,volatility,8,,,-0.036623040281285685,0.053764167092685756,-0.04519360368698572,3
classification,ridge,ta_ratio_bb_width_6m_vmbs,replace_vol_63d,ratio_bollinger,volatility,8,,,-0.040750300560247886,0.05246999173588624,-0.046610146148067064,2
classification,ridge,ta_ratio_bb_width_6m_voo,add_feature,ratio_bollinger,volatility,8,,,0.006851675893639955,0.007536581803236506,-0.0003424529547982752,4
classification,ridge,ta_ratio_bb_width_6m_voo,replace_mom_12m,ratio_bollinger,volatility,8,,,0.018948779544874582,-0.011011367357435298,0.014980073451154938,7
classification,ridge,ta_ratio_bb_width_6m_voo,replace_vix,ratio_bollinger,volatility,8,,,0.03114750615522336,-0.011710557993088008,0.021429032074155686,7
classification,ridge,ta_ratio_bb_width_6m_voo,replace_vol_63d,ratio_bollinger,volatility,8,,,0.009019662170735042,-0.012651126680464957,0.0108353944256,5
classification,ridge,ta_ratio_bb_width_6m_vwo,add_feature,ratio_bollinger,volatility,8,,,-0.008335600285504959,0.01700539771362351,-0.012670498999564234,3
classification,ridge,ta_ratio_bb_width_6m_vwo,replace_mom_12m,ratio_bollinger,volatility,8,,,0.0117509241748825,-0.018323618190353226,0.015037271182617865,7
classification,ridge,ta_ratio_bb_width_6m_vwo,replace_vix,ratio_bollinger,volatility,8,,,0.002544073160151504,-0.0036580735372671418,0.003101073348709323,5
classification,ridge,ta_ratio_bb_width_6m_vwo,replace_vol_63d,ratio_bollinger,volatility,8,,,0.027412892997330747,-0.008790874105677547,0.018101883551504147,7
classification,ridge,ta_ratio_bb_width_6m_vxus,add_feature,ratio_bollinger,volatility,8,,,0.010484958409731439,0.012451203531329391,-0.0009831225607989762,6
classification,ridge,ta_ratio_bb_width_6m_vxus,replace_mom_12m,ratio_bollinger,volatility,8,,,0.026430665591935937,-0.009941984434865998,0.018186325013400964,6
classification,ridge,ta_ratio_bb_width_6m_vxus,replace_vix,ratio_bollinger,volatility,8,,,0.01856088914742584,-0.0028821492411397615,0.0107215191942828,7
classification,ridge,ta_ratio_bb_width_6m_vxus,replace_vol_63d,ratio_bollinger,volatility,8,,,0.030088754550778148,-0.011045854157097482,0.020567304353937815,7
classification,ridge,ta_ratio_ema_gap_12m_bnd,add_feature,ratio_trend,trend,8,,,-0.03276425484791135,0.05866833017295452,-0.04571629251043294,2
classification,ridge,ta_ratio_ema_gap_12m_bnd,replace_mom_12m,ratio_trend,trend,8,,,-0.012692689143317802,0.043861481505524616,-0.02827708532442121,2
classification,ridge,ta_ratio_ema_gap_12m_bnd,replace_vix,ratio_trend,trend,8,,,-0.008387154640872162,0.03958882829540733,-0.02398799146813975,3
classification,ridge,ta_ratio_ema_gap_12m_bnd,replace_vol_63d,ratio_trend,trend,8,,,0.016149332600997206,0.0017855532271388516,0.007181889686929177,4
classification,ridge,ta_ratio_ema_gap_12m_dbc,add_feature,ratio_trend,trend,8,,,-0.020421349461221962,0.021596250223368953,-0.021008799842295457,4
classification,ridge,ta_ratio_ema_gap_12m_dbc,replace_mom_12m,ratio_trend,trend,8,,,0.0004984604634667919,-0.00373015038270489,0.0021143054230858393,7
classification,ridge,ta_ratio_ema_gap_12m_dbc,replace_vix,ratio_trend,trend,8,,,-0.013956083314664906,0.00937714968452396,-0.011666616499594433,6
classification,ridge,ta_ratio_ema_gap_12m_dbc,replace_vol_63d,ratio_trend,trend,8,,,-0.0040180529787822925,0.00023895401649251177,-0.002128503497637402,6
classification,ridge,ta_ratio_ema_gap_12m_gld,add_feature,ratio_trend,trend,8,,,-0.02640232795388419,0.04169475723517346,-0.03404854259452882,2
classification,ridge,ta_ratio_ema_gap_12m_gld,replace_mom_12m,ratio_trend,trend,8,,,-0.018992668277255424,0.020798758554449258,-0.01989571341585234,4
classification,ridge,ta_ratio_ema_gap_12m_gld,replace_vix,ratio_trend,trend,8,,,-0.0035820538181002073,0.02257688239087141,-0.01307946810448581,5
classification,ridge,ta_ratio_ema_gap_12m_gld,replace_vol_63d,ratio_trend,trend,8,,,-0.003077774229245968,0.00803282149309046,-0.005555297861168214,4
classification,ridge,ta_ratio_ema_gap_12m_vde,add_feature,ratio_trend,trend,8,,,-0.006319428737402995,0.016600420283847984,-0.01145992451062549,4
classification,ridge,ta_ratio_ema_gap_12m_vde,replace_mom_12m,ratio_trend,trend,8,,,0.00932378109256967,-0.013997894841808356,0.011660837967189013,5
classification,ridge,ta_ratio_ema_gap_12m_vde,replace_vix,ratio_trend,trend,8,,,-0.01685313055982971,0.0098314253303971,-0.013342277945113406,4
classification,ridge,ta_ratio_ema_gap_12m_vde,replace_vol_63d,ratio_trend,trend,8,,,-0.0003016693711333576,-0.008837076145873528,0.004267703387370085,5
classification,ridge,ta_ratio_ema_gap_12m_vmbs,add_feature,ratio_trend,trend,8,,,-0.05720840082599183,0.08095396885295315,-0.0690811848394725,2
