model_family,benchmark,model_type,experiment_mode,feature,replaced_feature,n_features,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,feature_group,family,baseline_ic,baseline_oos_r2,baseline_hit_rate,baseline_balanced_accuracy,baseline_brier_score,delta_ic,delta_oos_r2,delta_hit_rate,delta_balanced_accuracy,delta_brier_score
classification,GLD,ridge,replace_mom_12m,ta_ratio_bb_pct_b_6m_voo,mom_12m,12,180.0,,,,,,,0.2833939761455561,0.6,0.6541666666666667,0.8428571428571429,0.4916666666666666,0.6666666666666666,0.3888888888888889,ratio_bollinger,volatility,,,,0.6541666666666667,0.2974192251282321,,,,0.0,-0.014025248982675986
regression,GLD,ridge,replace_vol_63d,ta_ratio_bb_pct_b_6m_voo,vol_63d,12,180.0,0.2965091515170221,0.6388888888888888,0.1717664546185852,-0.532449243350229,0.2965091515170221,0.0252360390718772,,,,,,,,ratio_bollinger,volatility,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,0.0841445723633446,0.2442355404708445,0.061111111111111116,,
regression,GLD,gbt,replace_vol_63d,ta_ratio_bb_pct_b_6m_voo,vol_63d,12,180.0,0.293553025179282,0.6166666666666667,0.1766242534695567,-0.6138638179841549,0.293553025179282,0.0111681533285135,,,,,,,,ratio_bollinger,volatility,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.05736623713637731,-0.1726466825307163,0.011111111111111183,,
classification,GLD,ridge,replace_vol_63d,ta_ratio_bb_pct_b_6m_voo,vol_63d,12,180.0,,,,,,,0.3095736882189649,0.6,0.6583333333333333,0.8529411764705882,0.4833333333333333,0.6666666666666666,0.3777777777777777,ratio_bollinger,volatility,,,,0.6541666666666667,0.2974192251282321,,,,0.004166666666666652,0.012154463090732814
regression,GLD,ridge,replace_vix,ta_ratio_bb_pct_b_6m_voo,vix,12,180.0,0.2188812411905717,0.6166666666666667,0.1709089362073181,-0.5210087280165332,0.2188812411905717,0.1158252150125137,,,,,,,,ratio_bollinger,volatility,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,0.0065166620368941885,0.25567605580454034,0.03888888888888897,,
regression,GLD,gbt,replace_vix,ta_ratio_bb_pct_b_6m_voo,vix,12,180.0,0.2856100785559902,0.6222222222222222,0.170000311173129,-0.4511317860824186,0.2856100785559902,0.0147729312614733,,,,,,,,ratio_bollinger,volatility,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.0494232905130855,-0.009914650628980004,0.01666666666666672,,
classification,GLD,ridge,replace_vix,ta_ratio_bb_pct_b_6m_voo,vix,12,180.0,,,,,,,0.3142790532889411,0.6,0.6625,0.8636363636363636,0.475,0.6666666666666666,0.3666666666666666,ratio_bollinger,volatility,,,,0.6541666666666667,0.2974192251282321,,,,0.008333333333333304,0.016859828160709023
regression,GLD,ridge,add_feature,ta_ratio_bb_width_6m_voo,,13,180.0,0.1776639196683025,0.6222222222222222,0.183389567481733,-0.6955428160936643,0.1776639196683025,0.184114863380393,,,,,,,,ratio_bollinger,volatility,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,-0.03470065948537501,0.08114196772740923,0.04444444444444451,,
regression,GLD,gbt,add_feature,ta_ratio_bb_width_6m_voo,,13,180.0,0.2781174669523632,0.6055555555555555,0.1747459608798968,-0.5021212339759378,0.2781174669523632,0.015341306754451,,,,,,,,ratio_bollinger,volatility,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.041930678909458535,-0.06090409852249917,0.0,,
classification,GLD,ridge,add_feature,ta_ratio_bb_width_6m_voo,,13,180.0,,,,,,,0.2776060847125359,0.6444444444444445,0.6916666666666667,0.868421052631579,0.55,0.6666666666666666,0.4222222222222222,ratio_bollinger,volatility,,,,0.6541666666666667,0.2974192251282321,,,,0.03749999999999998,-0.019813140415696207
regression,GLD,ridge,replace_mom_12m,ta_ratio_bb_width_6m_voo,mom_12m,12,180.0,0.1907445703056678,0.6333333333333333,0.161050573973836,-0.2735754360968061,0.1907445703056678,0.1141340354214876,,,,,,,,ratio_bollinger,volatility,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,-0.021620008848009714,0.5031093477242674,0.05555555555555558,,
regression,GLD,gbt,replace_mom_12m,ta_ratio_bb_width_6m_voo,mom_12m,12,180.0,0.3014354411599593,0.6555555555555556,0.1610882893804456,-0.2633395013033142,0.3014354411599593,0.0069233370894795,,,,,,,,ratio_bollinger,volatility,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.0652486531170546,0.17787763415012442,0.050000000000000044,,
classification,GLD,ridge,replace_mom_12m,ta_ratio_bb_width_6m_voo,mom_12m,12,180.0,,,,,,,0.2472928523862867,0.65,0.6875,0.8518518518518519,0.575,0.6666666666666666,0.45,ratio_bollinger,volatility,,,,0.6541666666666667,0.2974192251282321,,,,0.033333333333333326,-0.050126372741945396
regression,GLD,ridge,replace_vol_63d,ta_ratio_bb_width_6m_voo,vol_63d,12,180.0,0.2323713694867125,0.6166666666666667,0.1783372816034183,-0.6175219802551128,0.2323713694867125,0.0554717090170205,,,,,,,,ratio_bollinger,volatility,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,0.020006790333034985,0.1591628035659607,0.03888888888888897,,
regression,GLD,gbt,replace_vol_63d,ta_ratio_bb_width_6m_voo,vol_63d,12,180.0,0.2824299228919068,0.6277777777777778,0.1779082931185745,-0.6340835397147699,0.2824299228919068,0.014741583579036,,,,,,,,ratio_bollinger,volatility,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.04624313484900214,-0.19286640426133134,0.022222222222222254,,
classification,GLD,ridge,replace_vol_63d,ta_ratio_bb_width_6m_voo,vol_63d,12,180.0,,,,,,,0.2564402503798413,0.6666666666666666,0.7124999999999999,0.8846153846153846,0.575,0.6666666666666666,0.4333333333333333,ratio_bollinger,volatility,,,,0.6541666666666667,0.2974192251282321,,,,0.05833333333333324,-0.040978974748390795
regression,GLD,ridge,replace_vix,ta_ratio_bb_width_6m_voo,vix,12,180.0,0.1612951017006697,0.6388888888888888,0.171710037473512,-0.549649503306405,0.1612951017006697,0.2370307861092439,,,,,,,,ratio_bollinger,volatility,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,-0.0510694774530078,0.22703528051466848,0.061111111111111116,,
regression,GLD,gbt,replace_vix,ta_ratio_bb_width_6m_voo,vix,12,180.0,0.2884494000626018,0.6333333333333333,0.1708812541136593,-0.4477427105839755,0.2884494000626018,0.0103674763887483,,,,,,,,ratio_bollinger,volatility,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.05226261201969709,-0.00652557513053692,0.02777777777777779,,
classification,GLD,ridge,replace_vix,ta_ratio_bb_width_6m_voo,vix,12,180.0,,,,,,,0.2661166373007043,0.6611111111111111,0.7041666666666666,0.8734177215189873,0.575,0.6666666666666666,0.4388888888888889,ratio_bollinger,volatility,,,,0.6541666666666667,0.2974192251282321,,,,0.04999999999999993,-0.03130258782752782
regression,GLD,ridge,add_feature,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,,13,180.0,0.2324042923135487,0.6055555555555555,0.1867856820129596,-0.7791437339575837,0.2324042923135487,0.0400370374426227,,,,,,,,volatility_interaction,regime,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,0.020039713159871186,-0.0024589501365102073,0.02777777777777779,,
regression,GLD,gbt,add_feature,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,,13,180.0,0.2529936777592337,0.5944444444444444,0.174741385188067,-0.5118549234870851,0.2529936777592337,0.0288370731821027,,,,,,,,volatility_interaction,regime,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.016806889716329015,-0.07063778803364645,-0.011111111111111072,,
classification,GLD,ridge,add_feature,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,,13,180.0,,,,,,,0.3132493090282792,0.5888888888888889,0.6583333333333333,0.8709677419354839,0.45,0.6666666666666666,0.3444444444444444,volatility_interaction,regime,,,,0.6541666666666667,0.2974192251282321,,,,0.004166666666666652,0.015830083900047087
regression,GLD,ridge,replace_mom_12m,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,mom_12m,12,180.0,0.1520417296830149,0.5777777777777777,0.1714196239925015,-0.3987706840577161,0.1520417296830149,0.1793559648703209,,,,,,,,volatility_interaction,regime,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,-0.060322849470662604,0.37791409976335744,0.0,,
regression,GLD,gbt,replace_mom_12m,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,mom_12m,12,180.0,0.2471003343252142,0.5888888888888889,0.1671878180620097,-0.3082557298932855,0.2471003343252142,0.0338938133324487,,,,,,,,volatility_interaction,regime,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.010913546282309505,0.13296140556015312,-0.016666666666666607,,
classification,GLD,ridge,replace_mom_12m,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,mom_12m,12,180.0,,,,,,,0.2670546246731606,0.6166666666666667,0.6708333333333334,0.8591549295774648,0.5083333333333333,0.6666666666666666,0.3944444444444444,volatility_interaction,regime,,,,0.6541666666666667,0.2974192251282321,,,,0.01666666666666672,-0.0303646004550715
regression,GLD,ridge,replace_vol_63d,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,vol_63d,12,180.0,0.1710526045042542,0.5277777777777778,0.2023221049543435,-0.8812062308757724,0.1710526045042542,0.141449404445866,,,,,,,,volatility_interaction,regime,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,-0.04131197464942332,-0.1045214470546989,-0.04999999999999993,,
regression,GLD,gbt,replace_vol_63d,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,vol_63d,12,180.0,0.2674658707561453,0.5888888888888889,0.1795806065861269,-0.6371361735886061,0.2674658707561453,0.0222043890695181,,,,,,,,volatility_interaction,regime,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.03127908271324062,-0.19591903813516748,-0.016666666666666607,,
classification,GLD,ridge,replace_vol_63d,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,vol_63d,12,180.0,,,,,,,0.2839715659183873,0.6111111111111112,0.6583333333333334,0.8378378378378378,0.5166666666666667,0.6666666666666666,0.4111111111111111,volatility_interaction,regime,,,,0.6541666666666667,0.2974192251282321,,,,0.004166666666666763,-0.013447659209844809
regression,GLD,ridge,replace_vix,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,vix,12,180.0,0.2402625595440188,0.6111111111111112,0.1790803931237156,-0.6456362030049412,0.2402625595440188,0.0368979713281707,,,,,,,,volatility_interaction,regime,0.2123645791536775,-0.7766847838210735,0.5777777777777777,,,0.027897980390341276,0.13104858081613235,0.03333333333333344,,
regression,GLD,gbt,replace_vix,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,vix,12,180.0,0.2513969124435891,0.6166666666666667,0.1726256663026372,-0.4712051210014685,0.2513969124435891,0.0356904444586948,,,,,,,,volatility_interaction,regime,0.2361867880429047,-0.4412171354534386,0.6055555555555555,,,0.015210124400684394,-0.029987985548029894,0.011111111111111183,,
classification,GLD,ridge,replace_vix,ta_ratio_roc_6m_voo__x__ta_pgr_natr_63d,vix,12,180.0,,,,,,,0.2978596808109487,0.6055555555555555,0.6666666666666666,0.8656716417910447,0.4833333333333333,0.6666666666666666,0.3722222222222222,volatility_interaction,regime,,,,0.6541666666666667,0.2974192251282321,,,,0.012499999999999956,0.00044045568271661173
