benchmark,target,n_features,n_obs,accuracy,balanced_accuracy,brier_score,log_loss,precision,recall,base_rate,predicted_positive_rate,ece_10,feature_set,selected_feature_set,selected_next
BND,actionable_sell_3pct,17,132,0.5833333333333334,0.5491071428571428,0.3162960677645888,1.167456897659273,0.18181818181818182,0.5,0.15151515151515152,0.4166666666666667,0.3698375650362842,lean_plus_investment,lean_baseline,False
GLD,actionable_sell_3pct,17,162,0.6111111111111112,0.5714285714285714,0.27946624738574466,1.0153020727136572,0.2857142857142857,0.5,0.2222222222222222,0.3888888888888889,0.2798339006461086,lean_plus_investment,lean_baseline,False
DBC,actionable_sell_3pct,17,150,0.6466666666666666,0.5473570916048792,0.26239480843800816,0.8539209205157359,0.30952380952380953,0.35135135135135137,0.24666666666666667,0.28,0.2588146410132698,lean_plus_investment,lean_baseline,False
VDE,actionable_sell_3pct,17,162,0.6296296296296297,0.4855697151424288,0.28238841594579683,1.0887725029009288,0.25,0.15217391304347827,0.2839506172839506,0.1728395061728395,0.28157432340292643,lean_plus_investment,lean_baseline,False
POOLED,actionable_sell_3pct,17,1044,0.6733716475095786,0.5459821135003617,0.24926542473241986,0.921769537421067,0.2737642585551331,0.32432432432432434,0.21264367816091953,0.25191570881226055,0.2500375158194472,lean_plus_investment,lean_baseline,False
VOO,actionable_sell_3pct,16,90,0.8,0.6515249837767683,0.19288111055170865,0.7765432812157778,0.7272727272727273,0.34782608695652173,0.25555555555555554,0.12222222222222222,0.17564832208062792,lean_plus_benchmark_context,lean_baseline,False
VXUS,actionable_sell_3pct,16,90,0.7333333333333333,0.564867042707494,0.2019717504402497,0.6839974620068131,0.29411764705882354,0.29411764705882354,0.18888888888888888,0.18888888888888888,0.23173797942099916,lean_plus_benchmark_context,lean_baseline,False
VWO,actionable_sell_3pct,16,156,0.7243589743589743,0.5126451612903226,0.19656575890980357,0.6527682550400227,0.22727272727272727,0.16129032258064516,0.1987179487179487,0.14102564102564102,0.14638236825706838,lean_plus_benchmark_context,lean_baseline,False
VMBS,actionable_sell_3pct,16,102,0.7745098039215687,0.6194444444444445,0.19715112982098135,0.7074073727051091,0.23809523809523808,0.4166666666666667,0.11764705882352941,0.20588235294117646,0.22901329557992994,lean_plus_benchmark_context,lean_baseline,False
BND,actionable_sell_3pct,16,132,0.6060606060606061,0.6035714285714285,0.3163931914617906,1.0669563981555275,0.21428571428571427,0.6,0.15151515151515152,0.42424242424242425,0.3617492548109707,lean_plus_benchmark_context,lean_baseline,False
GLD,actionable_sell_3pct,16,162,0.6172839506172839,0.5555555555555556,0.26124549175992967,0.8615942936752922,0.27586206896551724,0.4444444444444444,0.2222222222222222,0.35802469135802467,0.23643102885281314,lean_plus_benchmark_context,lean_baseline,False
DBC,actionable_sell_3pct,16,150,0.6733333333333333,0.5468787371442239,0.24640620666714222,0.771955738207765,0.3235294117647059,0.2972972972972973,0.24666666666666667,0.22666666666666666,0.2369671643922572,lean_plus_benchmark_context,lean_baseline,False
VDE,actionable_sell_3pct,16,162,0.6419753086419753,0.5007496251874063,0.2665047795419285,0.970263160670408,0.2857142857142857,0.17391304347826086,0.2839506172839506,0.1728395061728395,0.253487670740731,lean_plus_benchmark_context,lean_baseline,False
