benchmark,candidate_name,model_type,n_features,policy_name,threshold,notes,regression_ic,regression_oos_r2,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,avg_hold_fraction,mean_policy_return,uplift_vs_sell_50,uplift_vs_regression_sign
VPU,gbt_lean_plus_two,gbt,13,classifier_only_0.55,0.55,Adds the two strongest v9 GBT add-one winners.,0.2829468815751888,-0.30477710425451954,0.36641636982454157,0.5104166666666666,0.4682163187855788,0.6229508196721312,0.6129032258064516,0.6458333333333334,0.6354166666666666,0.6145833333333334,0.029047855776103606,0.004313124566898511,-0.018355139546317133
VPU,gbt_lean_plus_two,gbt,13,hybrid_confirm_0.55,0.55,Adds the two strongest v9 GBT add-one winners.,0.2829468815751888,-0.30477710425451954,0.36641636982454157,0.5104166666666666,0.4682163187855788,0.6229508196721312,0.6129032258064516,0.6458333333333334,0.6354166666666666,0.4375,0.03829225900109274,0.013557527791887646,-0.009110736321328
VPU,gbt_lean_plus_two,gbt,13,classifier_only_0.60,0.6,Adds the two strongest v9 GBT add-one winners.,0.2829468815751888,-0.30477710425451954,0.36641636982454157,0.5104166666666666,0.4682163187855788,0.6229508196721312,0.6129032258064516,0.6458333333333334,0.6354166666666666,0.546875,0.025225998808598882,0.0004912675993937928,-0.022176996513821857
VPU,gbt_lean_plus_two,gbt,13,hybrid_confirm_0.60,0.6,Adds the two strongest v9 GBT add-one winners.,0.2829468815751888,-0.30477710425451954,0.36641636982454157,0.5104166666666666,0.4682163187855788,0.6229508196721312,0.6129032258064516,0.6458333333333334,0.6354166666666666,0.3958333333333333,0.03399558645213916,0.009260855242934072,-0.013407408870281579
VPU,elasticnet_lean_v1,elasticnet,13,regression_sign,,Drops weaker macro features and adds the strongest v9 add-one winners.,0.3808984050289695,-0.27952723220541387,0.3156479900206824,0.609375,0.6577324478178368,0.8356164383561644,0.49193548387096775,0.6458333333333334,0.3802083333333333,0.5677083333333334,0.04422586527940341,0.019491134070198323,0.0
VPU,elasticnet_lean_v1,elasticnet,13,classifier_only_0.50,0.5,Drops weaker macro features and adds the strongest v9 add-one winners.,0.3808984050289695,-0.27952723220541387,0.3156479900206824,0.609375,0.6577324478178368,0.8356164383561644,0.49193548387096775,0.6458333333333334,0.3802083333333333,0.3802083333333333,0.05002416213572001,0.025289430926514922,0.005798296856316595
VPU,elasticnet_lean_v1,elasticnet,13,hybrid_confirm_0.50,0.5,Drops weaker macro features and adds the strongest v9 add-one winners.,0.3808984050289695,-0.27952723220541387,0.3156479900206824,0.609375,0.6577324478178368,0.8356164383561644,0.49193548387096775,0.6458333333333334,0.3802083333333333,0.3020833333333333,0.04424349405573482,0.019508762846529724,1.762877633140758e-05
VPU,elasticnet_lean_v1,elasticnet,13,classifier_only_0.55,0.55,Drops weaker macro features and adds the strongest v9 add-one winners.,0.3808984050289695,-0.27952723220541387,0.3156479900206824,0.609375,0.6577324478178368,0.8356164383561644,0.49193548387096775,0.6458333333333334,0.3802083333333333,0.3385416666666667,0.05124056712652162,0.026505835917316534,0.007014701847118207
VPU,elasticnet_lean_v1,elasticnet,13,hybrid_confirm_0.55,0.55,Drops weaker macro features and adds the strongest v9 add-one winners.,0.3808984050289695,-0.27952723220541387,0.3156479900206824,0.609375,0.6577324478178368,0.8356164383561644,0.49193548387096775,0.6458333333333334,0.3802083333333333,0.2864583333333333,0.04492137017648385,0.020186638967278767,0.0006955048970804373
VPU,elasticnet_lean_v1,elasticnet,13,classifier_only_0.60,0.6,Drops weaker macro features and adds the strongest v9 add-one winners.,0.3808984050289695,-0.27952723220541387,0.3156479900206824,0.609375,0.6577324478178368,0.8356164383561644,0.49193548387096775,0.6458333333333334,0.3802083333333333,0.3072916666666667,0.049276050151084494,0.02454131894187941,0.005050184871681081
VPU,elasticnet_lean_v1,elasticnet,13,hybrid_confirm_0.60,0.6,Drops weaker macro features and adds the strongest v9 add-one winners.,0.3808984050289695,-0.27952723220541387,0.3156479900206824,0.609375,0.6577324478178368,0.8356164383561644,0.49193548387096775,0.6458333333333334,0.3802083333333333,0.2760416666666667,0.04439931435824692,0.01966458314904183,0.00017344907884350724
