experiment_mode,step,candidate_feature,policy_name,threshold,feature_set_key,n_features,feature_columns,n_benchmarks,mean_regression_ic,mean_regression_oos_r2,mean_brier_score,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,mean_policy_return,mean_uplift_vs_sell_50,mean_uplift_vs_regression_sign,mean_avg_hold_fraction
forward_add,5,used_car_cpi_yoy,classifier_only,0.5,investment_book_yield|roe|npw_growth_yoy|buyback_yield|used_car_cpi_yoy,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,used_car_cpi_yoy",7,0.34416509131330436,-0.24135688947362957,0.34372491654557624,0.5251607651607652,0.5540806679715796,0.725321491746852,0.4755888897579747,0.040040595257856706,0.0042928006572222925,-0.029815839803324425,0.4400699531949532
forward_add,5,used_car_cpi_yoy,classifier_only,0.55,investment_book_yield|roe|npw_growth_yoy|buyback_yield|used_car_cpi_yoy,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,used_car_cpi_yoy",7,0.34416509131330436,-0.24135688947362957,0.34372491654557624,0.5251607651607652,0.5540806679715796,0.725321491746852,0.4755888897579747,0.03230858495132489,-0.003439209649309522,-0.037547850109856236,0.3847853072853073
forward_add,5,used_car_cpi_yoy,classifier_only,0.6,investment_book_yield|roe|npw_growth_yoy|buyback_yield|used_car_cpi_yoy,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,used_car_cpi_yoy",7,0.34416509131330436,-0.24135688947362957,0.34372491654557624,0.5251607651607652,0.5540806679715796,0.725321491746852,0.4755888897579747,0.02699505664768812,-0.008752737952946293,-0.042861378413493016,0.3407051282051282
forward_add,5,used_car_cpi_yoy,hybrid_confirm,0.5,investment_book_yield|roe|npw_growth_yoy|buyback_yield|used_car_cpi_yoy,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,used_car_cpi_yoy",7,0.34416509131330436,-0.24135688947362957,0.34372491654557624,0.5251607651607652,0.5540806679715796,0.725321491746852,0.4755888897579747,0.0357288636727716,-1.8930927862811676e-05,-0.03412757138840953,0.2936820818070819
forward_add,5,used_car_cpi_yoy,hybrid_confirm,0.55,investment_book_yield|roe|npw_growth_yoy|buyback_yield|used_car_cpi_yoy,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,used_car_cpi_yoy",7,0.34416509131330436,-0.24135688947362957,0.34372491654557624,0.5251607651607652,0.5540806679715796,0.725321491746852,0.4755888897579747,0.028012042614242696,-0.007735751986391719,-0.04184439244693844,0.24604624542124545
forward_add,5,used_car_cpi_yoy,hybrid_confirm,0.6,investment_book_yield|roe|npw_growth_yoy|buyback_yield|used_car_cpi_yoy,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,used_car_cpi_yoy",7,0.34416509131330436,-0.24135688947362957,0.34372491654557624,0.5251607651607652,0.5540806679715796,0.725321491746852,0.4755888897579747,0.022710939622136668,-0.01303685497849774,-0.04714549543904446,0.2105672568172568
forward_add,5,used_car_cpi_yoy,regression_sign,,investment_book_yield|roe|npw_growth_yoy|buyback_yield|used_car_cpi_yoy,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,used_car_cpi_yoy",7,0.34416509131330436,-0.24135688947362957,0.34372491654557624,0.5251607651607652,0.5540806679715796,0.725321491746852,0.4755888897579747,0.06985643506118112,0.03410864046054672,0.0,0.6544022181522181
forward_add,5,vix,classifier_only,0.5,investment_book_yield|roe|npw_growth_yoy|buyback_yield|vix,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,vix",7,0.34416509131330436,-0.24135688947362957,0.27255866284439045,0.5939016076516077,0.5631824867572571,0.7154771286281302,0.6471330605930863,0.055297807885499387,0.019550013284864973,-0.014558627175681741,0.6023430504680505
forward_add,5,vix,classifier_only,0.55,investment_book_yield|roe|npw_growth_yoy|buyback_yield|vix,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,vix",7,0.34416509131330436,-0.24135688947362957,0.27255866284439045,0.5939016076516077,0.5631824867572571,0.7154771286281302,0.6471330605930863,0.04922182667670551,0.013474032076071094,-0.020634608384475624,0.5308140008140008
forward_add,5,vix,classifier_only,0.6,investment_book_yield|roe|npw_growth_yoy|buyback_yield|vix,5,"investment_book_yield,roe,npw_growth_yoy,buyback_yield,vix",7,0.34416509131330436,-0.24135688947362957,0.27255866284439045,0.5939016076516077,0.5631824867572571,0.7154771286281302,0.6471330605930863,0.04438183218884502,0.008634037588210613,-0.025474602872336112,0.45702813390313385
